Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Lengths,Bwd Packet Lengths,Flow Bytes/s,Flow Packets/s,Flow IATs,Last Seen,Fwd IATs,Bwd IATs,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Fwd Header Length,Bwd Header Length
192.168.1.1-224.0.0.251-0-0-PROTO-2,192.168.1.1,0,224.0.0.251,0,PROTO-2,1747577523.1234515,39651.15547180176,32,0,1920,0,"[60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60]",[],1920,32,"[0.0, 0.0012400150299072266, 0.0004379749298095703, 0.0013861656188964844, 0.0008306503295898438, 0.000415802001953125, 0.0019462108612060547, 0.0006747245788574219, 0.0012974739074707031, 0.0006952285766601562, 0.0018031597137451172, 0.0007481575012207031, 0.0004851818084716797, 0.0018463134765625, 0.003186941146850586, 0.001161813735961914, 0.0006508827209472656, 0.0006580352783203125, 0.0017268657684326172, 0.0025815963745117188, 0.0012521743774414062, 0.001249551773071289, 0.0012052059173583984, 0.0012216567993164062, 0.0007405281066894531, 0.0017170906066894531, 0.0006356239318847656, 0.0028493404388427734, 0.0013289451599121094, 0.0005273818969726562, 0.001234292984008789, 0.0019161701202392578]",1747577523.1631026,"[0.0, 0.0012400150299072266, 0.0004379749298095703, 0.0013861656188964844, 0.0008306503295898438, 0.000415802001953125, 0.0019462108612060547, 0.0006747245788574219, 0.0012974739074707031, 0.0006952285766601562, 0.0018031597137451172, 0.0007481575012207031, 0.0004851818084716797, 0.0018463134765625, 0.003186941146850586, 0.001161813735961914, 0.0006508827209472656, 0.0006580352783203125, 0.0017268657684326172, 0.0025815963745117188, 0.0012521743774414062, 0.001249551773071289, 0.0012052059173583984, 0.0012216567993164062, 0.0007405281066894531, 0.0017170906066894531, 0.0006356239318847656, 0.0028493404388427734, 0.0013289451599121094, 0.0005273818969726562, 0.001234292984008789, 0.0019161701202392578]",[],0,0,0,0,0,0,0,0,0,0,0,0
192.168.1.1-224.0.0.1-0-0-PROTO-2,192.168.1.1,0,224.0.0.1,0,PROTO-2,1747577523.1240525,1448781.2519073486,63,0,3780,0,"[60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60]",[],3780,63,"[0.0, 0.001550912857055664, 0.00048422813415527344, 0.0008592605590820312, 0.0012745857238769531, 0.0004489421844482422, 0.002349376678466797, 0.0019178390502929688, 0.0007312297821044922, 0.0029408931732177734, 0.001402139663696289, 0.0005447864532470703, 0.0006487369537353516, 0.0007359981536865234, 0.000980377197265625, 0.003072023391723633, 0.0013744831085205078, 0.0005581378936767578, 0.0007255077362060547, 0.0012705326080322266, 0.001291036605834961, 0.002401590347290039, 0.0017855167388916016, 0.0007011890411376953, 0.0017008781433105469, 0.0007140636444091797, 0.0009546279907226562, 0.0012593269348144531, 0.0019366741180419922, 0.0012011528015136719, 0.0005252361297607422, 0.0012199878692626953, 1.3660223484039307, 0.0016863346099853516, 0.0018334388732910156, 0.0013968944549560547, 0.0015857219696044922, 0.0028371810913085938, 0.0017254352569580078, 0.0013756752014160156, 0.0014290809631347656, 0.001436471939086914, 0.001462697982788086, 0.0013153553009033203, 0.001291036605834961, 0.0013031959533691406, 0.0013134479522705078, 0.0013849735260009766, 0.0010128021240234375, 0.0015327930450439453, 0.0013203620910644531, 0.0013661384582519531, 0.0015268325805664062, 0.0011754035949707031, 0.0013875961303710938, 0.0013549327850341797, 0.0012483596801757812, 0.0012061595916748047, 0.0014066696166992188, 0.0011889934539794922, 0.0011529922485351562, 0.0018434524536132812, 0.0010972023010253906]",1747577524.5728338,"[0.0, 0.001550912857055664, 0.00048422813415527344, 0.0008592605590820312, 0.0012745857238769531, 0.0004489421844482422, 0.002349376678466797, 0.0019178390502929688, 0.0007312297821044922, 0.0029408931732177734, 0.001402139663696289, 0.0005447864532470703, 0.0006487369537353516, 0.0007359981536865234, 0.000980377197265625, 0.003072023391723633, 0.0013744831085205078, 0.0005581378936767578, 0.0007255077362060547, 0.0012705326080322266, 0.001291036605834961, 0.002401590347290039, 0.0017855167388916016, 0.0007011890411376953, 0.0017008781433105469, 0.0007140636444091797, 0.0009546279907226562, 0.0012593269348144531, 0.0019366741180419922, 0.0012011528015136719, 0.0005252361297607422, 0.0012199878692626953, 1.3660223484039307, 0.0016863346099853516, 0.0018334388732910156, 0.0013968944549560547, 0.0015857219696044922, 0.0028371810913085938, 0.0017254352569580078, 0.0013756752014160156, 0.0014290809631347656, 0.001436471939086914, 0.001462697982788086, 0.0013153553009033203, 0.001291036605834961, 0.0013031959533691406, 0.0013134479522705078, 0.0013849735260009766, 0.0010128021240234375, 0.0015327930450439453, 0.0013203620910644531, 0.0013661384582519531, 0.0015268325805664062, 0.0011754035949707031, 0.0013875961303710938, 0.0013549327850341797, 0.0012483596801757812, 0.0012061595916748047, 0.0014066696166992188, 0.0011889934539794922, 0.0011529922485351562, 0.0018434524536132812, 0.0010972023010253906]",[],0,0,0,0,0,0,0,0,0,0,0,0
172.16.76.173-172.16.255.255-0-0-UDP,172.16.76.173,0,172.16.255.255,0,UDP,1747577523.2984567,1672364.2349243164,3,0,276,0,"[92, 92, 92]",[],276,3,"[0.0, 0.616959810256958, 1.0554044246673584]",1747577524.970821,"[0.0, 0.616959810256958, 1.0554044246673584]",[],0,0,0,0,0,0,0,0,0,0,0,0
172.16.72.225-224.0.0.251-0-0-PROTO-2,172.16.72.225,0,224.0.0.251,0,PROTO-2,1747577523.3037999,0.0,1,0,46,0,[46],[],46,1,[0.0],1747577523.3037999,[0.0],[],0,0,0,0,0,0,0,0,0,0,0,0
172.16.71.133-239.255.255.250-0-0-UDP,172.16.71.133,0,239.255.255.250,0,UDP,1747577523.3052428,0.0,1,0,167,0,[167],[],167,1,[0.0],1747577523.3052428,[0.0],[],0,0,0,0,0,0,0,0,0,0,0,0
172.16.65.108-172.16.255.255-0-0-UDP,172.16.65.108,0,172.16.255.255,0,UDP,1747577523.3058174,0.0,1,0,377,0,[377],[],377,1,[0.0],1747577523.3058174,[0.0],[],0,0,0,0,0,0,0,0,0,0,0,0
172.16.72.57-172.16.255.255-0-0-UDP,172.16.72.57,0,172.16.255.255,0,UDP,1747577523.9117358,0.0,1,0,594,0,[594],[],594,1,[0.0],1747577523.9117358,[0.0],[],0,0,0,0,0,0,0,0,0,0,0,0
172.16.65.118-255.255.255.255-0-0-UDP,172.16.65.118,0,255.255.255.255,0,UDP,1747577523.9143453,0.0,1,0,864,0,[864],[],864,1,[0.0],1747577523.9143453,[0.0],[],0,0,0,0,0,0,0,0,0,0,0,0
172.16.71.35-224.0.0.251-0-0-UDP,172.16.71.35,0,224.0.0.251,0,UDP,1747577523.9192555,0.0,1,0,691,0,[691],[],691,1,[0.0],1747577523.9192555,[0.0],[],0,0,0,0,0,0,0,0,0,0,0,0
172.16.82.152-255.255.255.255-0-0-UDP,172.16.82.152,0,255.255.255.255,0,UDP,1747577524.2276103,10024.309158325195,7,0,1225,0,"[175, 175, 175, 175, 175, 175, 175]",[],1225,7,"[0.0, 0.0015704631805419922, 0.0028188228607177734, 0.0010666847229003906, 0.001703023910522461, 0.0014491081237792969, 0.0014162063598632812]",1747577524.2376347,"[0.0, 0.0015704631805419922, 0.0028188228607177734, 0.0010666847229003906, 0.001703023910522461, 0.0014491081237792969, 0.0014162063598632812]",[],0,0,0,0,0,0,0,0,0,0,0,0
